timestamp,PLN_USD,USD_PLN,PLN_EUR,EUR_PLN,PLN_GBP,GBP_PLN,USD_EUR,EUR_USD,USD_GBP,GBP_USD,EUR_GBP,GBP_EUR
2025-01-01 09:00:00,0.24662,3.9721,0.22795,4.3072,0.19008,5.1638,0.90543,1.06225,0.75502,1.2735,0.81872,1.17707
2025-01-01 09:00:02,0.24756,3.9449,0.22726,4.3155,0.1965,4.9954,0.89653,1.06835,0.77518,1.23667,0.84801,1.13527
2025-01-01 09:00:04,0.24344,4.0323,0.22837,4.2907,0.19477,5.0225,0.92085,1.04453,0.78537,1.22267,0.83569,1.14698
2025-01-01 09:00:06,0.25794,3.8029,0.23243,4.229,0.19475,5.0346,0.8839,1.09082,0.74061,1.29861,0.8236,1.17018
2025-01-01 09:00:08,0.25268,3.8816,0.22999,4.2796,0.19755,4.9586,0.89271,1.08139,0.76683,1.25296,0.84545,1.14041
2025-01-01 09:00:10,0.24884,3.9331,0.22869,4.2789,0.19617,5.0003,0.89945,1.06477,0.77156,1.24429,0.8394,1.1435
2025-01-01 09:00:12,0.24547,3.9995,0.23182,4.2238,0.19231,5.0968,0.92718,1.0368,0.76913,1.25109,0.81227,1.18157
2025-01-01 09:00:14,0.24813,3.9618,0.22827,4.2872,0.1931,5.0861,0.90438,1.06377,0.76503,1.262,0.82787,1.16102
2025-01-01 09:00:16,0.25663,3.8187,0.23095,4.235,0.19472,5.0395,0.88192,1.08684,0.74356,1.29331,0.82462,1.16386
2025-01-01 09:00:18,0.2453,3.9911,0.22873,4.2782,0.1933,5.0691,0.9129,1.04945,0.7715,1.24346,0.82699,1.15947
2025-01-01 09:00:20,0.24867,3.9346,0.22934,4.2757,0.19643,4.9985,0.90235,1.06324,0.77285,1.24298,0.83985,1.14634
2025-01-01 09:00:22,0.24409,4.0063,0.22488,4.3697,0.19288,5.0859,0.90092,1.06661,0.77275,1.24143,0.84284,1.1437
2025-01-01 09:00:24,0.24976,3.9151,0.22983,4.2708,0.19689,4.9763,0.89982,1.06666,0.77083,1.24286,0.84086,1.14371
2025-01-01 09:00:26,0.24425,4.0139,0.22927,4.2846,0.19355,5.0565,0.92028,1.04653,0.77691,1.23507,0.8293,1.15932
2025-01-01 09:00:28,0.2525,3.8913,0.23279,4.2071,0.19872,4.9319,0.90584,1.06229,0.77328,1.2453,0.83604,1.14807
2025-01-01 09:00:30,0.25095,3.8985,0.23122,4.2464,0.19631,4.9902,0.90141,1.06562,0.7653,1.25228,0.83359,1.15383
2025-01-01 09:00:32,0.24928,3.9245,0.22793,4.2996,0.19602,4.9983,0.89451,1.07179,0.76927,1.24596,0.84279,1.13927
2025-01-01 09:00:34,0.25189,3.8926,0.23212,4.2294,0.19928,4.9284,0.90355,1.06534,0.77571,1.24141,0.84283,1.14398
2025-01-01 09:00:36,0.25283,3.8858,0.23058,4.2526,0.19621,4.996,0.89601,1.07516,0.76243,1.26312,0.8344,1.152
2025-01-01 09:00:38,0.24791,3.9537,0.22875,4.2879,0.1927,5.077,0.90441,1.06299,0.76189,1.25861,0.8263,1.16136
2025-01-01 09:00:40,0.252,3.8859,0.23186,4.2337,0.19391,5.0472,0.90097,1.06691,0.7535,1.27191,0.82095,1.17023
2025-01-01 09:00:42,0.24603,3.9812,0.23001,4.2741,0.19749,4.9618,0.91572,1.05154,0.78624,1.22074,0.84408,1.14127
2025-01-01 09:00:44,0.24522,3.9979,0.22864,4.2855,0.1962,4.9933,0.91408,1.05088,0.78439,1.22445,0.84082,1.14166
2025-01-01 09:00:46,0.24775,3.9654,0.22628,4.3346,0.19469,5.0409,0.89727,1.0739,0.77203,1.24889,0.84391,1.14063
2025-01-01 09:00:48,0.24756,3.964,0.23053,4.2593,0.19821,4.9547,0.91381,1.05441,0.7857,1.22656,0.84423,1.14219
2025-01-01 09:00:50,0.24394,4.0272,0.22856,4.2867,0.19584,5.0082,0.92044,1.04569,0.7887,1.22169,0.83953,1.14465
2025-01-01 09:00:52,0.24264,4.0389,0.23084,4.2424,0.19118,5.1231,0.93234,1.02938,0.77214,1.24308,0.81104,1.18262
2025-01-01 09:00:54,0.25639,3.8383,0.23151,4.2376,0.19454,5.033,0.8886,1.08648,0.74669,1.29041,0.82437,1.16518
2025-01-01 09:00:56,0.25791,3.8019,0.23181,4.2325,0.1955,5.0136,0.88133,1.09161,0.74326,1.29306,0.82744,1.16222
2025-01-01 09:00:58,0.25405,3.849,0.23099,4.2497,0.19501,5.0195,0.88908,1.07965,0.75059,1.27521,0.82872,1.15945
2025-01-01 09:01:00,0.25309,3.8744,0.23293,4.2096,0.19914,4.9222,0.90247,1.0654,0.77155,1.24575,0.8383,1.14654
2025-01-01 09:01:02,0.24522,3.9968,0.22795,4.3056,0.19528,5.0295,0.91108,1.05584,0.78049,1.23336,0.84079,1.14648
2025-01-01 09:01:04,0.2433,4.0358,0.22997,4.2734,0.1912,5.1246,0.92811,1.03971,0.77163,1.2468,0.81706,1.1785
2025-01-01 09:01:06,0.24415,4.0194,0.23253,4.2227,0.19233,5.1009,0.93464,1.03096,0.77304,1.24537,0.81214,1.18612
2025-01-01 09:01:08,0.25313,3.8574,0.23005,4.2673,0.19326,5.0704,0.88739,1.08017,0.74546,1.28345,0.82468,1.16644
2025-01-01 09:01:10,0.2458,3.9917,0.22623,4.3255,0.19305,5.0713,0.90306,1.06319,0.77058,1.24651,0.83502,1.1473
2025-01-01 09:01:12,0.24749,3.9651,0.22939,4.2873,0.19663,4.998,0.90957,1.06106,0.77964,1.23695,0.84299,1.14651
2025-01-01 09:01:14,0.2493,3.9455,0.22941,4.2746,0.19574,5.0055,0.90514,1.06564,0.77229,1.24785,0.83671,1.14831
2025-01-01 09:01:16,0.24169,4.0666,0.22953,4.2846,0.19093,5.1248,0.93341,1.03553,0.77642,1.23859,0.81805,1.1763
2025-01-01 09:01:18,0.24736,3.9725,0.22895,4.2913,0.19535,5.0172,0.90952,1.06149,0.77605,1.24105,0.83832,1.14871
2025-01-01 09:01:20,0.24477,4.0075,0.23038,4.249,0.1966,4.9741,0.92324,1.04005,0.78789,1.21753,0.83536,1.14592
2025-01-01 09:01:22,0.24533,3.9991,0.22787,4.2999,0.19306,5.0779,0.91127,1.05491,0.77207,1.24577,0.83014,1.15709
2025-01-01 09:01:24,0.24777,3.9556,0.22822,4.2849,0.19326,5.0778,0.90273,1.06167,0.76444,1.25813,0.82808,1.15884
2025-01-01 09:01:26,0.24759,3.9526,0.22705,4.3132,0.19054,5.1435,0.89742,1.06791,0.75313,1.27349,0.82184,1.16781
2025-01-01 09:01:28,0.24996,3.9162,0.22817,4.2956,0.19628,4.9879,0.89356,1.07374,0.76868,1.24679,0.84315,1.13809
2025-01-01 09:01:30,0.24668,3.9769,0.22787,4.3076,0.18943,5.1634,0.90621,1.06258,0.75334,1.27369,0.81599,1.17658
2025-01-01 09:01:32,0.25048,3.893,0.23195,4.2256,0.1972,4.9705,0.90298,1.05841,0.76771,1.24499,0.8333,1.1529
2025-01-01 09:01:34,0.2448,3.9999,0.22561,4.3439,0.19289,5.081,0.90242,1.06338,0.77156,1.24382,0.83791,1.14633
2025-01-01 09:01:36,0.25188,3.8851,0.23236,4.2268,0.19828,4.9502,0.90273,1.06466,0.77033,1.24687,0.83809,1.15022
2025-01-01 09:01:38,0.24381,4.0277,0.2321,4.228,0.191,5.1332,0.93485,1.03084,0.76931,1.25154,0.80756,1.19144
2025-01-01 09:01:40,0.25027,3.9234,0.22789,4.3,0.19656,4.9841,0.89412,1.07616,0.77117,1.24737,0.84519,1.13585
2025-01-01 09:01:42,0.2484,3.9295,0.22885,4.2765,0.19558,5.0063,0.89926,1.06227,0.76852,1.24355,0.83638,1.14569
2025-01-01 09:01:44,0.24781,3.959,0.23102,4.2504,0.19527,5.0225,0.91461,1.05328,0.77309,1.24461,0.82999,1.16031
2025-01-01 09:01:46,0.24959,3.9299,0.23097,4.2445,0.1986,4.9295,0.9077,1.05938,0.78049,1.23034,0.84297,1.13858
2025-01-01 09:01:48,0.25179,3.905,0.23077,4.2601,0.19717,4.9764,0.90114,1.07264,0.76996,1.253,0.83997,1.14838
2025-01-01 09:01:50,0.2423,4.0453,0.23023,4.2567,0.19139,5.1172,0.93137,1.0314,0.77425,1.2399,0.81471,1.17816
2025-01-01 09:01:52,0.24649,3.9877,0.22793,4.2829,0.19018,5.1474,0.9089,1.05568,0.75839,1.26877,0.81453,1.17322
2025-01-01 09:01:54,0.24949,3.9293,0.22781,4.3052,0.19579,5.0025,0.89514,1.07412,0.76932,1.2481,0.84292,1.13963
2025-01-01 09:01:56,0.24823,3.9447,0.23098,4.2397,0.19868,4.9335,0.91116,1.05243,0.78375,1.22465,0.84236,1.13956
2025-01-01 09:01:58,0.25207,3.8848,0.23073,4.2423,0.1966,4.9896,0.89635,1.06937,0.76376,1.25774,0.83405,1.15127
2025-01-01 09:02:00,0.24079,4.0665,0.23208,4.2183,0.19234,5.087,0.94377,1.01572,0.78217,1.2249,0.81137,1.18061
2025-01-01 09:02:02,0.24816,3.951,0.23061,4.2565,0.19766,4.9537,0.91112,1.05631,0.78097,1.22933,0.84136,1.14235
2025-01-01 09:02:04,0.25553,3.8485,0.23199,4.2231,0.19796,4.9621,0.8928,1.07911,0.76184,1.26794,0.83599,1.15114
2025-01-01 09:02:06,0.25055,3.9099,0.23121,4.2496,0.19424,5.0409,0.904,1.06474,0.75947,1.263,0.82545,1.1655
2025-01-01 09:02:08,0.2466,3.9797,0.22742,4.309,0.18948,5.1713,0.90507,1.06261,0.75407,1.27526,0.81647,1.17607
2025-01-01 09:02:10,0.24093,4.0696,0.2318,4.2323,0.19216,5.0959,0.94335,1.01971,0.782,1.22778,0.81326,1.18125
2025-01-01 09:02:12,0.24508,4.0027,0.22883,4.2765,0.19579,5.0108,0.91595,1.04808,0.78368,1.22805,0.83728,1.14664
2025-01-01 09:02:14,0.25786,3.8021,0.23242,4.2198,0.19729,4.9577,0.88367,1.08814,0.75013,1.27842,0.83254,1.15226
2025-01-01 09:02:16,0.24609,3.9844,0.22624,4.332,0.1929,5.0726,0.90143,1.06608,0.76858,1.24833,0.83563,1.14762
2025-01-01 09:02:18,0.23719,4.1321,0.228,4.2989,0.18968,5.1654,0.94211,1.01966,0.78378,1.22519,0.81542,1.1777
2025-01-01 09:02:20,0.25568,3.8383,0.23201,4.2284,0.19787,4.9584,0.89054,1.0811,0.75949,1.26774,0.83668,1.15041
2025-01-01 09:02:22,0.25812,3.7975,0.232,4.2271,0.19346,5.0711,0.88101,1.09109,0.73465,1.30894,0.81776,1.17648
2025-01-01 09:02:24,0.24819,3.9376,0.23079,4.2438,0.19872,4.9406,0.90877,1.05326,0.78247,1.2262,0.84331,1.14025
2025-01-01 09:02:26,0.25199,3.8867,0.22966,4.2647,0.19738,4.9676,0.89261,1.07466,0.76715,1.25179,0.84176,1.14085
2025-01-01 09:02:28,0.24474,4.0012,0.22822,4.3022,0.19475,5.0211,0.91314,1.05294,0.77923,1.22888,0.83785,1.1459
2025-01-01 09:02:30,0.25197,3.881,0.23057,4.2556,0.19347,5.0657,0.89486,1.07226,0.75087,1.27638,0.82334,1.16802
2025-01-01 09:02:32,0.24553,3.9922,0.22635,4.3356,0.19339,5.0707,0.90364,1.06453,0.77207,1.24502,0.83848,1.14776
2025-01-01 09:02:34,0.25574,3.8485,0.23066,4.2412,0.1951,5.021,0.88771,1.08465,0.75084,1.28408,0.82745,1.15817
2025-01-01 09:02:36,0.23754,4.1368,0.2286,4.2912,0.18964,5.1684,0.94568,1.01931,0.7845,1.22768,0.81378,1.18151
2025-01-01 09:02:38,0.24766,3.955,0.22934,4.2776,0.19706,4.9872,0.90705,1.05939,0.77939,1.23513,0.84296,1.14377
2025-01-01 09:02:40,0.24531,3.9985,0.23043,4.2556,0.1967,4.9954,0.92136,1.04393,0.78649,1.22541,0.83706,1.15107
2025-01-01 09:02:42,0.24839,3.9489,0.22966,4.2707,0.19092,5.1242,0.9069,1.06078,0.75391,1.27278,0.81535,1.17681
2025-01-01 09:02:44,0.25204,3.8944,0.22941,4.269,0.19201,5.1176,0.8934,1.07597,0.74776,1.28985,0.81968,1.174
2025-01-01 09:02:46,0.2473,3.9722,0.22762,4.3031,0.19003,5.1566,0.90415,1.06418,0.75483,1.27525,0.81771,1.17374
2025-01-01 09:02:48,0.24722,3.9651,0.22689,4.3199,0.1943,5.0398,0.89963,1.06799,0.77043,1.24596,0.83937,1.14346
2025-01-01 09:02:50,0.24465,4.005,0.22793,4.3018,0.19519,5.0226,0.91284,1.05245,0.78174,1.2288,0.83967,1.14478
2025-01-01 09:02:52,0.25242,3.8909,0.23124,4.2454,0.19313,5.0726,0.89973,1.07161,0.75146,1.28041,0.81992,1.17299
2025-01-01 09:02:54,0.24516,3.9978,0.22797,4.3052,0.19442,5.0443,0.91137,1.05545,0.77724,1.23665,0.837,1.14993
2025-01-01 09:02:56,0.25157,3.8932,0.23182,4.242,0.19456,5.0276,0.90254,1.06717,0.75745,1.26481,0.82531,1.16552
2025-01-01 09:02:58,0.25189,3.887,0.22989,4.2603,0.19206,5.092,0.89356,1.07312,0.74652,1.28262,0.81822,1.17057
2025-01-01 09:03:00,0.24868,3.9329,0.22794,4.3087,0.19651,4.999,0.89647,1.07147,0.77285,1.24313,0.8467,1.13948
2025-01-01 09:03:02,0.24316,4.0226,0.23153,4.2288,0.19259,5.0905,0.93135,1.02825,0.77471,1.23778,0.81442,1.1786
2025-01-01 09:03:04,0.24096,4.0621,0.23165,4.2292,0.19279,5.0876,0.941,1.01908,0.78312,1.22593,0.81533,1.17856
2025-01-01 09:03:06,0.24786,3.9492,0.22947,4.2724,0.19602,4.9999,0.90624,1.05894,0.77411,1.23926,0.83746,1.14734
2025-01-01 09:03:08,0.24769,3.9499,0.22971,4.2635,0.19707,4.9756,0.90733,1.05603,0.7784,1.23241,0.8402,1.14295
